Candidato,Partido,Votos
Fernando Santos,PPL,711
George Laranjeira Gibson,SD,709
Agostinho Ferraz,PTC,700
Ronald Oliveira,SD,697
Prof. Paulo Maciel,PSD,691
Alessandro Didi,PSC,682
Avelino Freire,PEN,669
Sargento Santiago,PSC,667
Igor Alves,PRP,664
Silvania Carrilho,PV,651
Sandra Pernambuco,PSC,650
Humberto do Marreta,PTB,648
Marinho Timbaúba,PHS,643
Erivaldo Arruda,PTB,641
Davi Valente,PSC,637
Paulinho do Bongi,PRTB,630
Cassius Guerra,DEM,626
Eduardo Gomes,PSDB,624
Diego Lagedo,DEM,623
Bel da Lojinha,PSC,622
Fabiano Leite,PEN,599
Prof. Elismário,PC do B,595
Fred Brennand,PPS,595
Lincoln Cabral,PTC,587
Dr. Haroldo Duarte,PSDB,587
Diego Frota,PSC,579
Dedé Barnabé,PRTB,578
Arinaldo Fulco Aba,PRP,568
Carlos Dutra Sopinha,PP,567
Júnior Viana,PRB,553
Dilson Costa,PRP,552
Márcio Puxador,PPL,551
Luciano Oliveira dos Mercados,PSC,549
Nuno Trigueiro,PV,546
Júnior Barros,SD,545
Batista,PP,545
Célia Santos,PHS,543
Nino Bike,PHS,543
Mecinho,PSDC,542
Marcela Marques,PC do B,541
Ademir Araujo Mestre Formiga,PPL,541
Nildo Regente,PSDC,538
Ednaldo Barros,PTC,534
Nadilene Ribeiro,PRP,529
Dalva da Escolinha,PRTB,523
Yra de Kassia (kassia da Ótica,DEM,522
Douglas Porto,PTC,520
Zé Gomes,PSOL,512
Alcimar Dias,PTC,511
Mário Gomes,PEN,510
Moura,PPL,507
Regi Avançar,PSC,504
Érico Santos,PPS,502
Hamilton Buarque,PV,489
Valdomiro Moraes,PRP,484
Poniel do Carangueijo,PSC,484
Edivaldo Valentin,PRP,481
Pedro Cavalcante,PT,478
Bibiu,PTC,478
Nelson Monteiro,PSDC,477
Marcos Palito,PPL,473
Suely Guimarães,SD,472
Paulo de Tassio,PSD,472
Neto da Saúde,PSDC,471
Marinaldo Vendedor,PSDB,470
Daniel Blay,PSDC,469
Zé da Rima,PSDC,463
Demar,PTC,460
Henrique,SD,459
Gleyson Luiz,PROS,455
Profº Marcos,PC do B,453
Ana Morais,PSC,450
Antonia Elizabete,PSOL,449
Amauri Souto,PSC,448
Everaldo Evangelista Nenê,PSC,448
Fellype Lira,PEN,447
Irmão Rolly,PRP,446
Marcelo Marujo,PSDB,445
Major Fentes,PSC,441
Ezequiel Gomes,PP,439
Delegado Paulo Jeann,REDE,433
Beto Ferraz,PHS,430
Pedro Luiz,PEN,415
Samuel Campos,PTC,414
Isaque Santana,PEN,410
Elpidio Araújo,SD,409
Lúcio Beltrão,PSDB,409
Anna Paula Carvalho,PV,409
Reginaldo Praticamente,PSC,408
Stênio Fonsêca,PEN,406
Gabriel Lima,PRP,406
Robson Protetico,PP,405
Piedade Buarque,PDT,403
Léo,PRB,402
Beline Lopes,PSDB,401
Rafa Lima,PSD,400
Alcinéa Padilha,PPS,398
Pastor Ailton,PC do B,394
Josué Augusto,PHS,393
Zé Roberto,PRP,392
Marinho Junior,SD,391
Pipita,PPS,391
Ricardo da Xerox,PTC,389
Flora Pimentel,PRP,388
Miranda Queza,PTC,385
Professor Luizinho,PRP,383
Elinaldo Alcides,PMN,380
Tarcis Guimarães,PRTB,379
Marquinho Taxista,PSL,375
Hugo Arcoverde,PP,375
André Inventor,PV,374
Jodileide Marques,PPL,374
Terezinha Rocha,PEN,373
Paulo Belence,PRP,372
Jailson,PSOL,372
Adrian Passos,SD,372
João Oliveira,PRTB,370
Levi Mesquita,PTB,370
Binho Souza,PRP,369
Silvio Lucena,PRTB,368
Raimundo Ferreira,PEN,367
Genilson Monteiro,PTC,362
Ricardo Bezerra,PSDC,360
Irmã Dinha,PEN,359
Lira Junior,SD,359
Jesus,PSC,358
Nevinha Silva,PRTB,356
Murilo Dias,PSL,354
Jefferson Cesar,PPS,354
Rubem Moraes,PRP,353
Assis Vigilante,PRTB,349
Isaac Nova Raça,PPL,342
Irmã Cristina,PRTB,341
Irmão Reginaldo,PC do B,339
Josenildo Tem Futuro,PHS,339
Coronel Guarines,SD,338
Sonia Lins,PSDC,336
Zé do Carmo,PRB,335
Shirlene Queiroz,PRP,333
Doutor Penha,PSD,331
Pastor Josuel Silva,PSDB,331
Zilda Corretora,PSDB,331
Italo Bruno,PSD,331
Pastor Fernando,SD,330
Léo Benevides,PHS,329
Missionaria Nay Ferreira,PSC,326
Andre Cabeleireiro,PSDC,325
Taxista Edilson Pedrinho,PPL,322
Geovane Barbosa,PRP,321
Afonso,PMN,320
Marli Maravilha,PV,319
Suzy do Sítio do Rosário,PSC,314
Kátia Gomes,PPS,310
Kinco,SD,308
Erivan Correia,PC do B,307
Darlan Braz Neto,DEM,307
Olga Câmara,PTB,304
Jamil Gomes,SD,304
Valter Afogados,PPL,303
Sergio do Camarão,PRP,302
Leandro Tenorio,PPL,302
Ray Ferreira,PSC,300
Professor Fernando Luiz,PDT,299
Prof. Pedro Monteiro,PHS,299
Alberico do Fiteiro,PSC,298
Avaneide Scanoni Neidinha,PTC,296
Waldyr Santos,PRP,296
Irá,PTC,293
Aquiles,PSC,292
Samuel Ferreira,PHS,290
Pitter Bull Cabelereiro,PPS,288
João Oseias,PSB,287
Pedro Silva,PRP,286
Lilika,PPL,285
Pedro Cabeleireiro,PPS,283
Aldemir Brasil,PC do B,282
Binha,PTC,282
Reginaldo Barboza - Regi,PRTB,281
Roberto Numeriano,PSOL,279
Hugo Lins,PSDB,279
Irmão Cicero,PHS,278
Eliseu Magno,PC do B,275
Enock Ramos,PMN,275
Varjal,PSOL,270
Professora Verônica Duarte,PC do B,268
Pastor Fabianno Felix,PSD,263
Leandra Silva,PRB,261
George Soares,PP,261
Marcos Andrade,PTC,260
Alexandre Bigode,PHS,259
Gildo Tv,PTC,257
Albérico Sigismundo,PSOL,254
Deyvson Nunes,PEN,250
Izaias Guimaraes,PTC,249
Ivonete Oliveira Nanete,PSC,248
Marcos Vieira,PRTB,248
Alencar,PRTB,247
Carlos Fernando,PRP,246
Professora Rosa,PSB,244
Cristiano Andrade,PMN,244
João Almeida,PHS,243
João Rafael,PPS,240
Genilson Pontes,SD,235
Sargento João Evangelista,PSDC,235
Walmir Locutor,PSDC,233
Washington Leandro,PRP,228
Val do Posto,PPS,227
Andréa May,PP,225
Wagner Rodrigues,PR,225
Sandro Ferraz,PPS,225
Van do Forró,PSD,225
Dilson Reis Filho,PSDB,224
Michelle de Afogados,PSDC,223
Waléria da Saúde,PEN,221
Rivaldo Figueiredo,PHS,221
Erivaldo Martins,PRB,220
Nilda,PSD,219
Hosana Jane,PEN,216
Henrique Florentino,PPL,216
Luiz Ignácio,PV,216
Abigail da Saúde,PSOL,215
Gerusa da Saúde,PSC,212
Tinho do Povo,PSC,211
Graça Vasconcelos,PV,210
Gemeos da Capotaria,PSD,207
Rita Lima,PSDB,204
Rileyde Almeida,PV,204
Claudio Cacau,PV,202
Margarete Medeiros,PSDC,200
Leonardo Quintas,PEN,200
Pastor Gerson Pereira,PEN,198
Marcilio Correria,PMN,197
Marcinho,PSOL,196
Dirceu,PRP,195
Daniel Cabeleireiro,PSDB,195
Xandy Show Lgbt,PC do B,195
Jonas Miguel,PRTB,195
Irmã Tia Nita,SD,195
Antonio Monteiro,SD,195
Luciano César,PEN,194
