Candidato,Partido,Votos
Dona Fufu,PTC,1
Tania da Guabiraba,PSDC,1
Neco Recife,PTC,1
Galega de Santo Amaro,PSDC,1
Glória Maria,PHS,1
Leda,PMN,1
Andrea,PPL,1
Lindinalva Se Santana,DEM,1
Kelly,PPL,1
Denize Maria,PEN,0
Lindinalva Domingos,PSC,0
Jamerson Dantas,PSD,0
Néa,PRTB,0
Fabiola Maia,PRB,0
Sara Barbosa,PP,0
Josy Arruda,PRB,0
Euridice,PRTB,0
Patricia Braga,PP,0
Gilson Lima,PROS,0
Silvia Cristina,PRB,0
Maria Helena Cidadã Repórter,PV,0
Walter Freitas,PPS,0
Gildazio Moura,PT,0
Estela Sitio G. Imbiribeira,PPL,0
Inaldo Monteiro,PSOL,0
Vanda,PTB,0
Edson Axé,PT,0
Soares Fêu,PROS,0
Sergio Urt,PT,0
Fernando Acs (garrincha),PT,0
Raquel Lourenço,PMN,0
Aline Fagundes,PT,0
Samuel Luz Barbosa,PTB,0
André Frutuoso,PPS,0
Vanessa Silva,PHS,0
Benedito Serafim,PTB,0
Neyl Santos,PT,0
